Description,Language,dependecies_found
"Robust and sparse methods for high diemnsional data including gaussian, binomial and multinomial families",R,"[""cvTools"", ""ggplot2"", ""glmnet"", ""grid"", ""parallel"", ""reshape"", ""robustHD"", ""robustbase"", ""stats""]"
Python package for early warning signals (EWS) of bifurcations in time series data.,Jupyter Notebook,[]
python library to analyse guitar sounds,Python,"[""IPython"", ""ipywidgets"", ""matplotlib"", ""numpy"", ""pytest"", ""scipy"", ""soundfile"", ""tabulate""]"
CLOVER minigrid simulation and optimisation for supporting rural electrification in developing countries,Python,"[""PyYAML"", ""black"", ""customtkinter"", ""mypy"", ""numpy"", ""pandas"", ""pandas-stubs"", ""pylint"", ""pytest"", ""requests"", ""scikit-learn"", ""scipy"", ""seaborn"", ""tqdm"", ""types-requests""]"
C++ genetic algorithms scientific library,C++,[]
Python library for parallel multiobjective simulation optimization,Python,[]
py-sc-fermi is a materials modelling code for calculating self-consistent Fermi energies and defect concentrations under thermodynamic equilibrium (or quasi-equilibrium) given defect formation energies.,Python,"[""nbsphinx"", ""numpy"", ""pymatgen"", ""pyyaml"", ""recommonmark"", ""scipy""]"
repository for RCaN and RCaNconstructor,R,"[""GGally"", ""MASS"", ""Matrix"", ""RCaNmodel"", ""ROI"", ""ROI.plugin.cbc"", ""Rcpp"", ""RcppEigen"", ""Rdpack"", ""coda"", ""datamods"", ""doParallel"", ""dplyr"", ""dqrng"", ""foreach"", ""ggplot2"", ""ggraph"", ""gridExtra"", ""htmltools"", ""igraph"", ""kableExtra"", ""knitr"", ""lpSolveAPI"", ""magrittr"", ""openxlsx"", ""openxlsx2"", ""readxl"", ""rhandsontable"", ""rlang"", ""rmarkdown"", ""shiny"", ""shinyBS"", ""shinyWidgets"", ""shinybusy"", ""shinydashboard"", ""shinydashboardPlus"", ""shinyjs"", ""shinytest2"", ""showimage"", ""spsComps"", ""stringr"", ""symengine"", ""testthat"", ""tibble"", ""tidyr"", ""tidyselect"", ""visNetwork"", ""writexl""]"
"Package with helper functions to load, manage and analyze hydrometeorological data from Central Asia",TeX,[]
"mlpack: a fast, header-only C++ machine learning library",C++,"[""Bfd"", ""LibDL"", ""PkgConfig"", ""mlpack""]"
"JOAN is an software package that allows to perform human-in-the loop experiments in the open source driving simulator CARLA. JOAN facilitates communication between human input devices and CARLA, the implementation of haptic feedback, systematically storing experiment data, and the automatic execution of experiments with multiple experimental conditions.",Python,"[""PyQt5"", ""PyQt5-sip"", ""colour"", ""flake8"", ""hidapi"", ""keyboard"", ""markdown-inline-graphviz-extension"", ""markdown_inline_graphviz_extension"", ""mkdocs"", ""numpy"", ""pandas"", ""pathlib"", ""pymdown-extensions"", ""pyqtgraph"", ""wres""]"
,,
A python library for creating Kronecker Product operators with efficient lazy computation,Python,"[""click"", ""ghp-import"", ""griffe"", ""importlib-metadata"", ""jinja2"", ""markdown"", ""markdown-include"", ""markupsafe"", ""mergedeep"", ""mkdocs"", ""mkdocs-autorefs"", ""mkdocstrings-python"", ""mkdocstrings[python]"", ""numpy"", ""packaging"", ""pymdown-extensions"", ""pyparsing"", ""python-dateutil"", ""pyyaml"", ""pyyaml-env-tag"", ""six"", ""watchdog"", ""zipp""]"
,Julia,[]
FijiRelax: 3D+t multi-echo spin-echo sequences MRI analysis,Java,[]
Multidimensional Spectral Grids,Fortran,[]
PyAutoGalaxy: Open-Source Multiwavelength Galaxy Structure & Morphology,Python,"[""astropy"", ""autoarray"", ""autofit"", ""black"", ""colossus"", ""furo"", ""getdist"", ""myst-parser"", ""nautilus-sampler"", ""numba"", ""pynufft"", ""pytest"", ""sphinx"", ""sphinx_autodoc_typehints"", ""sphinx_copybutton"", ""sphinx_design"", ""sphinx_inline_tabs"", ""ultranest"", ""zeus-mcmc""]"
Python implementations of approval-based committee (multi-winner) voting rules,Python,"[""Sphinx"", ""gurobipy"", ""matplotlib"", ""mip"", ""networkx[default]"", ""numpy"", ""numpydoc"", ""pabutools"", ""preflibtools"", ""prefsampling"", ""pulp[highs]"", ""ruamel.yaml"", ""sphinx-codeautolink"", ""sphinx-rtd-theme""]"
"UBayFS implements the UBayFS feature selection framework, together with an interactive Shiny dashbord.",R,"[""DT"", ""DirichletReg"", ""GA"", ""GSelection"", ""RColorBrewer"", ""Rdimtools"", ""caret"", ""dplyr"", ""ggplot2"", ""glmnet"", ""gridExtra"", ""hyper2"", ""knitr"", ""mRMRe"", ""matrixStats"", ""methods"", ""plyr"", ""prettydoc"", ""rmarkdown"", ""rpart"", ""shiny"", ""shinyBS"", ""shinyWidgets"", ""shinyalert"", ""shinyjs"", ""testthat"", ""utils""]"
:sound: spafe: Simplified Python Audio Features Extraction,Python,"[""numpy"", ""scipy"", ""typing_extensions""]"
R package for signed networks,R,"[""Matrix"", ""ROI"", ""ROI.plugin.glpk"", ""Rcpp"", ""RcppArmadillo"", ""covr"", ""ggplot2"", ""ggraph"", ""igraph"", ""knitr"", ""ompr"", ""ompr.roi"", ""rmarkdown"", ""testthat""]"
A python framework accelerating ML based discovery in the medical field by encouraging code reuse. Batteries included :),Python,"[""SimpleITK"", ""choix"", ""clearml"", ""click"", ""deepdiff"", ""h5py"", ""hdf5plugin"", ""huggingface_hub"", ""hydra-core"", ""ipykernel"", ""ipython"", ""jsonargparse"", ""lifelines"", ""lightly"", ""m2r2"", ""matplotlib"", ""medpy"", ""monai"", ""nibabel"", ""numpy"", ""omegaconf"", ""opencv-python"", ""pandas"", ""paramiko"", ""plotly"", ""psutil"", ""pycocotools"", ""pydicom"", ""pytorch_lightning"", ""scikit-image"", ""scikit-learn"", ""scipy"", ""sphinx"", ""sphinx-rtd-theme"", ""statsmodels"", ""tables"", ""tensorboard"", ""termcolor"", ""tokenizers"", ""torch"", ""torchvision"", ""tqdm"", ""transformers"", ""vit-pytorch"", ""volumentations-3D"", ""wget"", ""x-transformers"", ""xmlrunner""]"
Work with data from cardiopulmonary exercise testing,R,"[""cowplot"", ""digest"", ""ggborderline"", ""ggplot2"", ""knitr"", ""readxl"", ""rmarkdown"", ""signal"", ""testthat"", ""vdiffr"", ""xml2""]"
Python library of the NGHam protocol,Python,"[""Sphinx"", ""crc"", ""sphinx-rtd-theme""]"
processing and mapping COVID-19 case data at subnational scales,R,"[""COVID19"", ""RColorBrewer"", ""dplyr"", ""glue"", ""googledrive"", ""here"", ""htmltools"", ""htmlwidgets"", ""httr"", ""jsonlite"", ""knitr"", ""leaflet"", ""lubridate"", ""magrittr"", ""pdftools"", ""purrr"", ""readxl"", ""rlang"", ""rmapshaper"", ""rmarkdown"", ""rvest"", ""sf"", ""shiny"", ""stringr"", ""testthat"", ""tibble"", ""tidyr"", ""tmap"", ""usethis"", ""utils"", ""vroom""]"
"A new version of the code to simulate the oxDNA/oxRNA models, now equipped with Python bindings",C++,"[""${entry}"", ""Doxygen"", ""Git"", ""MPI"", ""contrib"", ""oxpy"", ""pybind11"", ""randisi"", ""romano"", ""rovigatti"", ""src"", ""tostiguerra""]"
,,
Adaptive large neighbourhood search (and more!) in Python.,Python,"[""classifiers"", ""codecov"", ""docutils"", ""include"", ""ipython"", ""jupyter"", ""license"", ""mabwiser"", ""matplotlib"", ""nbsphinx"", ""networkx"", ""numpy"", ""numpydoc"", ""optional"", ""packages"", ""pre-commit"", ""pytest"", ""pytest-cov"", ""python"", ""readme"", ""repository"", ""sphinx-autoapi"", ""sphinx_rtd_theme"", ""tomli"", ""tsplib95"", ""vrplib""]"
JOSS paper materials,TeX,[]
GNOLL is an efficient dice notation parser for multiple programming languages that supports a wide set of dice notation,Yacc,[]
Stochastic first-passage time (FPT) simulations using importance sampling.,Python,"[""coverage"", ""cython"", ""matplotlib"", ""mpmath"", ""nbsphinx"", ""nbsphinx-link"", ""numpy"", ""pandas"", ""pytest"", ""pytest-cov"", ""scipy""]"
,,
Multidimensional atmospheric retrieval of exoplanet spectra.,Python,[]
Tools for generating synthetic bundle adjustment datasets,Rust,[]
"MG-MAMPOSSt is a FORTRAN code that extended the MAMPOSSt algorithm of G. Mamon, A. Biviano and G. Boué, that performs Bayesian fits of models of mass and velocity anisotropy profiles to the distribution of tracers in projected phase space, to handle modified gravity models and constrain its parameters. The new version implements two distinct types of gravity modifications, namely general chameleon (including $f(\mathcal{R})$ models) and beyond Horndeski gravity (Vainshtein screening).",Fortran,[]
,,
Simula Cardiac ElectroMechanics Solver,Python,"[""Sphinx"", ""ap-features"", ""black"", ""build"", ""bump2version"", ""cardiac-geometries"", ""cbcbeat"", ""click"", ""fenics-plotly"", ""fenics-pulse"", ""flake8"", ""h5py"", ""ipython"", ""isort"", ""jupyter-book"", ""jupytext"", ""matplotlib"", ""mypy"", ""numpy"", ""pandas"", ""pdbpp"", ""pip"", ""plotly"", ""pre-commit"", ""pytest"", ""pytest-cov"", ""requests"", ""scipy"", ""sphinx"", ""sphinxcontrib-bibtex"", ""streamlit"", ""tqdm"", ""twine"", ""typing-extensions"", ""wheel""]"
IGraph/M is the igraph interface for Mathematica,Mathematica,[]
"VIP is a python package/library for angular, reference star and spectral differential imaging for exoplanet/disk detection through high-contrast imaging.",Python,"[""alabaster"", ""appnope"", ""astropy"", ""astropy-iers-data"", ""asttokens"", ""attrs"", ""autopep8"", ""babel"", ""backports-tarfile"", ""bandit"", ""beautifulsoup4"", ""bleach"", ""bokeh"", ""build"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""click"", ""colorama"", ""colorcet"", ""comm"", ""contourpy"", ""corner"", ""coverage"", ""cryptography"", ""cycler"", ""dataclass-builder"", ""dataclass_builder"", ""debugpy"", ""decorator"", ""defusedxml"", ""distlib"", ""docutils"", ""emcee"", ""exceptiongroup"", ""executing"", ""fastjsonschema"", ""filelock"", ""flake8"", ""flake8-bandit"", ""flake8-docstrings"", ""fonttools"", ""greenlet"", ""hciplot"", ""holoviews"", ""id"", ""identify"", ""idna"", ""imageio"", ""imagesize"", ""importlib-metadata"", ""iniconfig"", ""ipykernel"", ""ipython"", ""ipython-pygments-lexers"", ""ipywidgets"", ""jaraco-classes"", ""jaraco-context"", ""jaraco-functools"", ""jedi"", ""jeepney"", ""jinja2"", ""joblib"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-cache"", ""jupyter-client"", ""jupyter-core"", ""jupyter-sphinx"", ""jupyter_sphinx"", ""jupyterlab-pygments"", ""jupyterlab-widgets"", ""keyring"", ""kiwisolver"", ""lazy-loader"", ""linkify-it-py"", ""markdown"", ""markdown-it-py"", ""markupsafe"", ""matplotlib"", ""matplotlib-inline"", ""mccabe"", ""mdit-py-plugins"", ""mdurl"", ""mistune"", ""more-itertools"", ""myst-nb"", ""myst-parser"", ""myst_nb"", ""narwhals"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nbsphinx"", ""nest-asyncio"", ""nestle"", ""networkx"", ""nh3"", ""nodeenv"", ""numpy"", ""opencv-python"", ""packaging"", ""pandas"", ""pandoc"", ""pandocfilters"", ""panel"", ""param"", ""parso"", ""pexpect"", ""photutils"", ""pillow"", ""platformdirs"", ""pluggy"", ""plumbum"", ""ply"", ""pre-commit"", ""prompt-toolkit"", ""psutil"", ""ptyprocess"", ""pure-eval"", ""pycodestyle"", ""pycparser"", ""pydocstyle"", ""pyerfa"", ""pyflakes"", ""pygments"", ""pyparsing"", ""pyprind"", ""pyproject-hooks"", ""pytest"", ""pytest-split"", ""python-dateutil"", ""pytz"", ""pyviz-comms"", ""pywin32"", ""pywin32-ctypes"", ""pyyaml"", ""pyzmq"", ""ratelimit"", ""readme-renderer"", ""referencing"", ""requests"", ""requests-toolbelt"", ""rfc3986"", ""rich"", ""rpds-py"", ""scikit-image"", ""scikit-learn"", ""scipy"", ""secretstorage"", ""six"", ""snowballstemmer"", ""soupsieve"", ""sphinx"", ""sphinx-rtd-theme"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jquery"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""sqlalchemy"", ""stack-data"", ""stevedore"", ""tabulate"", ""threadpoolctl"", ""tifffile"", ""tinycss2"", ""tomli"", ""tornado"", ""tqdm"", ""traitlets"", ""twine"", ""typing-extensions"", ""tzdata"", ""uc-micro-py"", ""urllib3"", ""vip-hci"", ""vip_hci"", ""virtualenv"", ""wcwidth"", ""webencodings"", ""widgetsnbextension"", ""xyzservices"", ""zipp""]"
🐙 KrakenUniq: Metagenomics classifier with unique k-mer counting for more specific results,C++,"[""bz2"", ""z""]"
,,
"Regression, Inference, and General Data Analysis Tools for R ",R,"[""car"", ""knitr"", ""rmarkdown"", ""sandwich"", ""stats"", ""survival"", ""testthat"", ""tidyverse""]"
Monotone Parameterization Toolkit (MParT): A core library for constructing and using transport maps.,C++,"[""CUDAToolkit"", ""Catch2"", ""Eigen3"", ""JlCxx"", ""Julia"", ""Kokkos"", ""Matlab"", ""NLopt"", ""cereal"", ""julia"", ""matlab"", ""pybind11"", ""python"", ""src"", ""tests""]"
Data quality reporting for temporal datasets.,R,"[""MASS"", ""Matrix"", ""R6"", ""RColorBrewer"", ""Rcpp"", ""askpass"", ""base64enc"", ""bit"", ""bit64"", ""brew"", ""brio"", ""cachem"", ""callr"", ""cli"", ""clipr"", ""codemeta"", ""codemetar"", ""colorspace"", ""commonmark"", ""covr"", ""cowplot"", ""cpp11"", ""crayon"", ""credentials"", ""crul"", ""curl"", ""data.table"", ""desc"", ""devtools"", ""diffobj"", ""diffviewer"", ""digest"", ""ellipsis"", ""evaluate"", ""fansi"", ""farver"", ""fastmap"", ""fs"", ""gert"", ""ggplot2"", ""gh"", ""gitcreds"", ""glue"", ""gtable"", ""highr"", ""hms"", ""htmltools"", ""htmlwidgets"", ""httpcode"", ""httr"", ""ini"", ""isoband"", ""jquerylib"", ""jsonlite"", ""knitr"", ""labeling"", ""lattice"", ""lazyeval"", ""lifecycle"", ""magrittr"", ""memoise"", ""mgcv"", ""mime"", ""munsell"", ""nlme"", ""openssl"", ""pillar"", ""pingr"", ""pkgbuild"", ""pkgconfig"", ""pkgload"", ""praise"", ""prettyunits"", ""processx"", ""progress"", ""ps"", ""purrr"", ""rappdirs"", ""rcmdcheck"", ""reactR"", ""reactable"", ""readr"", ""rematch2"", ""remotes"", ""renv"", ""rex"", ""rlang"", ""rmarkdown"", ""roxygen2"", ""rprojroot"", ""rstudioapi"", ""rversions"", ""scales"", ""sessioninfo"", ""shiny"", ""stats"", ""stringi"", ""stringr"", ""sys"", ""testthat"", ""tibble"", ""tidyselect"", ""tinytex"", ""triebeard"", ""tzdb"", ""urltools"", ""usethis"", ""utf8"", ""utils"", ""vctrs"", ""vdiffr"", ""viridisLite"", ""vroom"", ""waldo"", ""whisker"", ""withr"", ""xfun"", ""xml2"", ""xopen"", ""yaml"", ""zip""]"
Generic Learning User Enablement Code,Python,"[""Pillow"", ""matplotlib"", ""numpy"", ""scipy"", ""sklearn"", ""torch"", ""torchaudio"", ""torchvision""]"
PACMAN is a pipeline to reduce and analyze data collected by Hubble Wide Field Camera 3 (HST/WFC3) using either the G102 or G141 grism.,Python,"[""astropy"", ""batman-package"", ""celerite"", ""corner"", ""dynesty"", ""emcee"", ""exotic-ld"", ""h5py"", ""ipython_genutils"", ""matplotlib"", ""myst_parser"", ""nbconvert"", ""nbsphinx"", ""numpy"", ""numpydoc"", ""pandoc"", ""pyyaml"", ""recommonmark"", ""scipy"", ""seaborn"", ""sphinx"", ""sphinx-automodapi"", ""sphinx-gallery"", ""sphinx_rtd_theme"", ""tqdm"", ""uncertainties""]"
Simple Manipulation Of Trees,Python,"[""click"", ""parsec""]"
GDL - GNU Data Language,C++,"[""Curses"", ""EXPAT"", ""Eigen3"", ""FFTW"", ""Freetype"", ""GLPK"", ""GSL"", ""GeoTIFF"", ""Git"", ""GraphicsMagick"", ""Grib"", ""HDF"", ""HDF5"", ""ImageMagick"", ""LIBPROJ"", ""MPI"", ""NetCDF"", ""OpenMP"", ""PCRE"", ""PNG"", ""Python"", ""PythonInterp"", ""PythonLibs"", ""QHULL"", ""RPC"", ""Readline"", ""SHAPELIB"", ""TIFF"", ""Threads"", ""Udunits2"", ""X11"", ""Xdr"", ""ZLIB"", ""antlr"", ""dlm"", ""plplot"", ""src"", ""testsuite"", ""wxWidgets""]"
"A Python package for converting TEI XML collations to NEXUS, BEAST 2.7 XML, and other formats",Python,"[""Jinja2"", ""Sphinx"", ""alabaster"", ""anyio"", ""attrs"", ""babel"", ""beautifulsoup4"", ""black"", ""bleach"", ""certifi"", ""cffi"", ""cfgv"", ""charset-normalizer"", ""classifiers"", ""click"", ""colorama"", ""coverage"", ""defusedxml"", ""distlib"", ""documentation"", ""docutils"", ""et-xmlfile"", ""exceptiongroup"", ""fastjsonschema"", ""filelock"", ""h11"", ""homepage"", ""identify"", ""idna"", ""imagesize"", ""importlib-metadata"", ""iniconfig"", ""jinja2"", ""jsonschema"", ""jsonschema-specifications"", ""jupyter-client"", ""jupyter-core"", ""jupyterlab-pygments"", ""keywords"", ""latexcodec"", ""license"", ""lxml"", ""markdown-it-py"", ""markupsafe"", ""mdurl"", ""mistune"", ""mypy-extensions"", ""nbclient"", ""nbconvert"", ""nbformat"", ""nbsphinx"", ""nodeenv"", ""numpy"", ""openpyxl"", ""packaging"", ""pandas"", ""pandocfilters"", ""pathspec"", ""platformdirs"", ""pluggy"", ""pre-commit"", ""pybtex"", ""pybtex-docutils"", ""pycparser"", ""pygments"", ""pytest"", ""python"", ""python-dateutil"", ""python-slugify"", ""pytz"", ""pywin32"", ""pyyaml"", ""pyzmq"", ""readme"", ""referencing"", ""repository"", ""requests"", ""rich"", ""rpds-py"", ""setuptools"", ""shellingham"", ""six"", ""sniffio"", ""snowballstemmer"", ""soupsieve"", ""sphinx"", ""sphinx-autobuild"", ""sphinx-click"", ""sphinx-copybutton"", ""sphinx-rtd-theme"", ""sphinxcontrib-applehelp"", ""sphinxcontrib-bibtex"", ""sphinxcontrib-devhelp"", ""sphinxcontrib-htmlhelp"", ""sphinxcontrib-jquery"", ""sphinxcontrib-jsmath"", ""sphinxcontrib-qthelp"", ""sphinxcontrib-serializinghtml"", ""starlette"", ""teiphy"", ""text-unidecode"", ""tinycss2"", ""tomli"", ""tornado"", ""traitlets"", ""typer"", ""typing-extensions"", ""tzdata"", ""urllib3"", ""uvicorn"", ""virtualenv"", ""watchfiles"", ""webencodings"", ""websockets"", ""zipp""]"
A NLPModel API for optimization problems with PDE-constraints,Julia,[]
hstrat enables phylogenetic inference on distributed digital evolution populations,Python,"[""Deprecated"", ""Sphinx"", ""alifedata_phyloinformatics_convert"", ""anytree"", ""astropy"", ""biopython"", ""bitarray"", ""bitstring"", ""black"", ""bumpver"", ""colorclade"", ""contexttimer"", ""coverage"", ""cppimport"", ""dendropy"", ""downstream"", ""fishersrc"", ""flake8"", ""interval_search"", ""ipykernel"", ""ipython"", ""iterify"", ""iterpop"", ""joblib"", ""joinem"", ""keyname"", ""lazy_loader"", ""lru-dict"", ""matplotlib"", ""mmh3"", ""more-itertools"", ""mpmath"", ""mypy"", ""nbsphinx"", ""networkx"", ""numba"", ""numpy"", ""opytional"", ""ordered_set"", ""phylotrackpy"", ""pybind11"", ""pytest"", ""pytest-xdist"", ""pyyaml"", ""ruff"", ""safe-assert"", ""scipy"", ""setuptools"", ""setuptools-scm"", ""sphinx_rtd_theme"", ""teeplot"", ""tox"", ""tqdist"", ""twine"", ""uv"", ""wheel""]"
"Implements Optimization and approximate uncertainty quantification algorithms, Ensemble Kalman Inversion, and Ensemble Kalman Processes.",Julia,[]
"Free, open source crypto trading bot",Python,"[""SQLAlchemy"", ""TA-Lib"", ""aiofiles"", ""aiohttp"", ""ast-comments"", ""bottleneck"", ""cachetools"", ""catboost"", ""ccxt"", ""certifi"", ""cmaes"", ""cryptography"", ""datasieve"", ""fastapi"", ""filelock"", ""freqtrade-client"", ""ft-pandas-ta"", ""gymnasium"", ""httpx"", ""humanize"", ""ipykernel"", ""isort"", ""janus"", ""jinja2"", ""joblib"", ""jsonschema"", ""jupyter"", ""lightgbm"", ""markdown"", ""mdx_truly_sane_lists"", ""mike"", ""mkdocs"", ""mkdocs-material"", ""mypy"", ""nbconvert"", ""nbstripout"", ""numexpr"", ""numpy"", ""optuna"", ""orjson"", ""packaging"", ""pandas"", ""plotly"", ""pre-commit"", ""prompt-toolkit"", ""psutil"", ""pyarrow"", ""pycoingecko"", ""pydantic"", ""pyjwt"", ""pymdown-extensions"", ""pytest"", ""pytest-asyncio"", ""pytest-cov"", ""pytest-mock"", ""pytest-random-order"", ""pytest-timeout"", ""pytest-xdist"", ""python-dateutil"", ""python-rapidjson"", ""python-telegram-bot"", ""pytz"", ""questionary"", ""requests"", ""rich"", ""ruff"", ""sb3-contrib"", ""sb3_contrib"", ""schedule"", ""scikit-learn"", ""scipy"", ""scipy-stubs"", ""sdnotify"", ""stable-baselines3"", ""stable_baselines3"", ""ta-lib"", ""tabulate"", ""technical"", ""tensorboard"", ""time-machine"", ""torch"", ""tqdm"", ""types-cachetools"", ""types-filelock"", ""types-python-dateutil"", ""types-requests"", ""types-tabulate"", ""urllib3"", ""uvicorn"", ""websockets"", ""xgboost""]"
Pure Numpy Implementation of the Coherent Point Drift Algorithm,Python,"[""numpy""]"
pyndl implements a Naive discriminative learning which is a learning and classification models based on the Rescorla-Wagner equations in python3.,Python,"[""Cython"", ""Jinja2"", ""easydev"", ""flake8"", ""generate-setup-file"", ""nbsphinx"", ""netCDF4"", ""notebook"", ""numpy"", ""numpydoc"", ""pandas"", ""pydocstyle"", ""pylint"", ""pytest"", ""pytest-cov"", ""python"", ""scipy"", ""script"", ""seaborn"", ""setuptools"", ""sphinx"", ""sphinx-copybutton"", ""sphinx_rtd_theme"", ""toml"", ""vulture"", ""xarray""]"
Deep Insight And Neural Network Analysis,Jupyter Notebook,[]
Distributed Deep learning with Keras & Spark,Python,"[""Cython"", ""Flask"", ""absl-py"", ""aiohappyeyeballs"", ""aiohttp"", ""aiosignal"", ""astunparse"", ""async-timeout"", ""attrs"", ""blinker"", ""certifi"", ""cfgv"", ""charset-normalizer"", ""click"", ""colorama"", ""coverage"", ""cython"", ""datasets"", ""dill"", ""distlib"", ""elephas"", ""exceptiongroup"", ""execnet"", ""filelock"", ""findspark"", ""flask"", ""flatbuffers"", ""frozenlist"", ""fsspec"", ""gast"", ""google-pasta"", ""grpcio"", ""h5py"", ""hf-xet"", ""huggingface-hub"", ""identify"", ""idna"", ""importlib-metadata"", ""iniconfig"", ""itsdangerous"", ""jinja2"", ""joblib"", ""keras"", ""libclang"", ""markdown"", ""markdown-it-py"", ""markupsafe"", ""mdurl"", ""ml-dtypes"", ""mock"", ""multidict"", ""multiprocess"", ""namex"", ""nodeenv"", ""numpy"", ""opt-einsum"", ""optree"", ""packaging"", ""pandas"", ""pep8"", ""platformdirs"", ""pluggy"", ""pre-commit"", ""propcache"", ""protobuf"", ""py4j"", ""pyarrow"", ""pygments"", ""pyspark"", ""pytest"", ""pytest-cache"", ""pytest-cov"", ""pytest-pep8"", ""pytest-spark"", ""python-dateutil"", ""pytz"", ""pyyaml"", ""requests"", ""rich"", ""scikit-learn"", ""scipy"", ""setuptools"", ""six"", ""tensorboard"", ""tensorboard-data-server"", ""tensorflow"", ""tensorflow-io-gcs-filesystem"", ""termcolor"", ""threadpoolctl"", ""tomli"", ""tqdm"", ""typing-extensions"", ""tzdata"", ""urllib3"", ""virtualenv"", ""werkzeug"", ""wheel"", ""wrapt"", ""xxhash"", ""yarl"", ""zipp""]"
QuantNBody : a python package for quantum chemistry/physics to manipulate many-body operators and wave functions.,Jupyter Notebook,[]
,,
An R library for managing and documenting dplyr data pipelines,R,"[""V8"", ""base64enc"", ""covr"", ""devtools"", ""dplyr"", ""fs"", ""ggplot2"", ""glue"", ""here"", ""htmltools"", ""knitr"", ""lifecycle"", ""magrittr"", ""pdftools"", ""png"", ""purrr"", ""rlang"", ""rmarkdown"", ""rstudioapi"", ""rsvg"", ""scales"", ""spelling"", ""stringr"", ""survival"", ""testthat"", ""tibble"", ""tidyr"", ""tidyselect"", ""utils""]"
Frequency domain estimation and functional and directed connectivity analysis tools for electrophysiological data,Python,"[""black"", ""cupy-cuda12x"", ""matplotlib"", ""mypy"", ""nitime"", ""numpy"", ""numpydoc"", ""pytest"", ""pytest-cov"", ""ruff"", ""scipy"", ""syrupy"", ""xarray""]"
"A GUI program for analyzing, simulating, and visualizing impedance spectra.",Python,"[""dearpygui"", ""pyimpspec"", ""requests""]"
COntagion Simulation And Source Identification: a Python package for graph diffusion source inference,Python,"[""coverage"", ""ndlib"", ""networkx"", ""numpy"", ""numpydoc"", ""pydata_sphinx_theme"", ""pytest"", ""scikit_learn"", ""scipy"", ""six"", ""sphinx-press-theme"", ""sphinx_automodapi""]"
,MATLAB,[]
Lightweight Python implementation of Normative Modelling,Jupyter Notebook,[]
2D spectral-core shallow-water exoplanet atmosphere model,Python,[]
A full end-to-end modular software suite for radiative transfer and related atmospheric analysis,Julia,[]
Histocompatibility analysis performed by kidney allocation systems for transplantation,R,"[""covr"", ""data.table"", ""dplyr"", ""knitr"", ""magrittr"", ""mockr"", ""purrr"", ""rlang"", ""rmarkdown"", ""stringr"", ""testthat"", ""tibble"", ""tidyr"", ""utils""]"
,R,"[""DBI"", ""MASS"", ""Matrix"", ""PhysicalActivity"", ""R6"", ""RColorBrewer"", ""RSQLite"", ""Rcpp"", ""askpass"", ""assertthat"", ""attempt"", ""backports"", ""base64enc"", ""bit"", ""bit64"", ""blob"", ""broom"", ""bslib"", ""cachem"", ""callr"", ""cli"", ""colorspace"", ""commonmark"", ""config"", ""covr"", ""cpp11"", ""crayon"", ""data.table"", ""dbplyr"", ""digest"", ""dplyr"", ""evaluate"", ""fansi"", ""farver"", ""fastmap"", ""flextable"", ""fontBitstreamVera"", ""fontLiberation"", ""fontawesome"", ""fontquiver"", ""forcats"", ""fresh"", ""fs"", ""gdtools"", ""generics"", ""ggplot2"", ""globals"", ""glue"", ""golem"", ""gtable"", ""here"", ""highr"", ""hms"", ""htmltools"", ""htmlwidgets"", ""httpuv"", ""isoband"", ""jquerylib"", ""jsonlite"", ""knitr"", ""labeling"", ""later"", ""lattice"", ""lifecycle"", ""lubridate"", ""magrittr"", ""memoise"", ""mgcv"", ""mime"", ""modelr"", ""munsell"", ""nlme"", ""officer"", ""openssl"", ""patchwork"", ""pillar"", ""pkgconfig"", ""pkgdown"", ""pkgload"", ""plogr"", ""plyr"", ""processx"", ""promises"", ""purrr"", ""ragg"", ""rappdirs"", ""reactR"", ""reactable"", ""renv"", ""rlang"", ""rmarkdown"", ""rprojroot"", ""rstudioapi"", ""sass"", ""scales"", ""shiny"", ""shinyFeedback"", ""shinycssloaders"", ""shinydashboard"", ""shinydashboardPlus"", ""shinyjs"", ""shinytest2"", ""sourcetools"", ""spelling"", ""stringi"", ""stringr"", ""sys"", ""systemfonts"", ""testthat"", ""textshaping"", ""tibble"", ""tidyr"", ""tidyselect"", ""timechange"", ""tinytex"", ""utf8"", ""uuid"", ""vctrs"", ""viridisLite"", ""waiter"", ""withr"", ""xfun"", ""xml2"", ""xtable"", ""yaml"", ""zip"", ""zoo""]"
Defect structure-searching employing chemically-guided bond distortions,Python,"[""CarrierCapture.jl"", ""ase"", ""click"", ""doped"", ""easyunfold"", ""hiphive"", ""importlib-metadata"", ""matplotlib"", ""monty"", ""myst-nb"", ""nonrad"", ""numpy"", ""pandas"", ""py-sc-fermi"", ""pymatgen"", ""pymatgen-analysis-defects"", ""seaborn"", ""shakenbreak"", ""sphinx"", ""sphinx-book-theme"", ""sphinx_click"", ""sphinx_design""]"
,,
